FF SN,SF SN,lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
4Q3XF2FJ0600RD,4Q0YM77J0T008J,267.9,412.2,216.0,246.0,1200.0,200.0,400.0,3500.0
4Q3XF2FJ0600PW,4Q0YM77J0T00BT,256.9,360.7,191.1,225.4,1400.0,300.0,500.0,3500.0
4Q3XF2FJ0600YX,4Q0YM77J0T00BS,299.2,402.9,209.9,251.0,1500.0,300.0,500.0,3900.0
4Q3XF2FJ06011T,4Q0YM77J0T00BR,227.6,364.1,181.6,218.3,1400.0,300.0,500.0,3900.0
4Q3XF2FJ060011,4Q0YM77J0T009D,209.1,354.1,173.6,215.0,1400.0,300.0,500.0,3900.0
4Q3XF2FJ06010K,4Q0YM77J0T00B8,240.6,367.2,175.3,231.2,1300.0,200.0,400.0,4100.0
4Q3XF2FJ0600XF,4Q0YM77J0T0080,257.5,380.8,178.2,217.4,1500.0,300.0,600.0,3900.0
4Q3XF2FJ0600Q3,4Q0YM77J0T007J,267.6,377.7,180.5,229.0,1800.0,300.0,500.0,4600.0
4Q3XF2FJ060032,4Q0YM77J0T006N,229.6,334.6,174.7,220.0,1800.0,300.0,500.0,4600.0
4Q3XF2FJ06011W,4Q0YM77J0T006D,272.7,384.2,211.6,235.3,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600ZB,4Q0YM77J0T006S,286.5,425.5,213.7,249.3,1400.0,300.0,500.0,3900.0
4Q3XF2FJ06001L,4Q0YM77J0T0042,238.9,345.4,162.3,209.4,1000.0,200.0,400.0,3300.0
4Q3XF2FJ060016,4Q0YM77J0T0087,263.4,401.8,197.8,238.4,1400.0,300.0,500.0,3400.0
4Q3XF2FJ0600YH,4Q0YM77J0T007R,230.5,383.0,176.4,243.0,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600TR,4Q0YM77J0T007N,244.8,366.4,174.2,215.5,1500.0,200.0,400.0,4000.0
4Q3XF2FJ0600GN,4Q0YM77J0T008L,203.7,336.6,162.3,200.2,1400.0,300.0,500.0,3500.0
4Q3XF2FJ060003,4Q0YM77J0T009R,270.7,372.6,199.5,236.2,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600HD,4Q0YM77J0T004T,248.5,346.6,179.3,235.1,1500.0,200.0,500.0,3600.0
4Q3XF2FJ0600R3,4Q0YM77J0T006K,274.4,388.2,182.7,232.9,1200.0,200.0,400.0,3000.0
4Q3XF2FJ0600ZM,4Q0YM77J0T006C,266.5,377.4,200.1,245.5,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600H2,4Q0YM77J0T003S,247.3,400.9,181.6,250.0,1300.0,100.0,300.0,3500.0
4Q3XF2FJ0600TS,4Q0YM77J0T008W,257.5,397.7,195.7,236.7,1000.0,0.0,200.0,2500.0
4Q3XF2FJ0600ZJ,4Q0YM77J0T008K,292.1,428.6,206.4,262.6,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600VR,4Q0YM77J0T008N,273.6,401.5,193.4,236.7,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600WP,4Q0YM77J0T006J,260.8,372.3,186.6,240.2,1100.0,200.0,400.0,3000.0
4Q3XF2FJ060007,4Q0YM77J0T007K,282.0,391.2,205.8,241.4,1400.0,300.0,500.0,3900.0
4Q3XF2FJ06000R,4Q0YM77J0T006X,250.2,347.9,186.6,235.3,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600LQ,4Q0YM77J0T0091,245.4,344.9,169.6,219.1,1200.0,200.0,400.0,3000.0
4Q3XF2FJ06001R,4Q0YM77J0T0089,248.5,376.2,192.9,230.7,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600M0,4Q0YM77J0T004C,261.1,345.7,177.6,226.1,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600W8,4Q0YM77J0T007X,271.9,393.8,192.9,227.8,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600Y0,4Q0YM77J0T00C9,257.5,381.4,186.0,229.3,1800.0,300.0,600.0,4800.0
4Q3XF2FJ0600F2,4Q0YM77J0T00CH,221.2,359.3,171.9,228.3,1400.0,300.0,500.0,3900.0
4Q3XF2FJ06002T,4Q0YM77J0T006R,245.7,398.6,190.6,247.4,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600LN,4Q0YM77J0T0075,254.4,347.6,183.3,218.6,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600K8,4Q0YM77J0T004M,307.7,414.2,199.5,255.4,1400.0,300.0,500.0,2900.0
4Q3XF2FJ060103,4Q0YM77J0T005Q,264.8,405.4,207.6,233.1,1200.0,200.0,400.0,3400.0
4Q3XF2FJ0600ZX,4Q0YM77J0T005X,270.2,351.7,175.9,219.8,1800.0,300.0,500.0,4600.0
4Q3XF2FJ06002F,4Q0YM77J0T005L,234.4,363.5,174.7,206.5,1400.0,300.0,500.0,3900.0
4Q3XF2FJ060113,4Q0YM77J0T005P,274.2,397.5,202.4,255.4,1400.0,300.0,500.0,3000.0
4Q3XF2FJ0600QQ,4Q0YM77J0T0063,273.9,386.8,201.3,242.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600R7,4Q0YM77J0T0071,234.4,362.7,167.5,229.5,1300.0,100.0,400.0,3400.0
4Q3XF2FJ0600Q9,4Q0YM77J0T004X,241.7,340.0,181.6,212.8,1400.0,200.0,400.0,3000.0
4Q3XF2FJ0600TM,4Q0YM77J0T009C,266.3,343.7,190.0,224.9,1300.0,200.0,400.0,3200.0
4Q3XF2FJ0600MX,4Q0YM77J0T008V,268.4,389.2,190.6,240.9,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600SD,4Q0YM77J0T008X,299.5,409.7,222.3,244.2,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600V6,4Q0YM77J0T009F,240.6,345.7,173.0,213.5,1400.0,300.0,500.0,3500.0
4Q3XF2FJ0600JH,4Q0YM77J0T0083,239.2,363.8,189.4,206.2,1200.0,300.0,500.0,3900.0
4Q3XF2FJ060116,4Q0YM77J0T009N,278.1,384.5,199.0,225.6,1400.0,300.0,500.0,3500.0
4Q3XF2FJ0600PD,4Q0YM77J0T005V,238.4,359.0,181.0,216.9,2900.0,600.0,800.0,6000.0
4Q3XF2FJ0600HT,4Q0YM77J0T006M,225.1,343.4,169.2,221.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600SF,4Q0YM77J0T006H,276.6,388.2,189.4,229.0,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600N1,4Q0YM77J0T0094,227.3,341.4,179.3,227.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600KP,4Q0YM77J0T006Q,274.4,374.6,200.7,226.8,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600H9,4Q0YM77J0T0045,234.7,345.1,182.7,220.0,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600Q0,4Q0YM77J0T005B,280.6,400.3,195.7,224.4,1800.0,300.0,500.0,4600.0
4Q3XF2FJ06000Q,4Q0YM77J0T005W,257.5,339.7,192.3,230.4,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600SR,4Q0YM77J0T009M,264.8,359.0,191.7,226.8,1200.0,200.0,400.0,3100.0
4Q3XF2FJ0600T5,4Q0YM77J0T0099,268.2,374.0,181.0,238.2,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600N9,4Q0YM77J0T0086,223.7,340.0,173.6,216.2,1200.0,200.0,400.0,2800.0
4Q3XF2FJ0600JJ,4Q0YM77J0T006V,290.7,417.1,213.7,256.8,1800.0,300.0,500.0,4600.0
4Q3XF2FJ0600QL,4Q0YM77J0T0064,268.4,389.2,186.6,244.2,1400.0,300.0,500.0,3900.0
4Q3XF2FJ0600NR,4Q0YM77J0T007P,261.4,363.5,182.7,223.7,1400.0,300.0,500.0,3300.0
4Q3XF2FJ0600PG,4Q0YM77J0T0059,239.4,338.6,174.7,236.7,1800.0,300.0,500.0,4600.0
4Q3XF2FJ06002C,4Q0YM77J0T007B,222.0,384.7,168.6,249.3,1400.0,300.0,500.0,3900.0
4Q3XF2FJ06002P,4Q0YM77J0T009Q,284.2,401.2,200.7,240.4,1500.0,200.0,500.0,4200.0
4Q3XF2FJ0600Z5,4Q0YM77J0T004K,222.9,334.3,173.0,232.9,1800.0,500.0,700.0,5100.0
4Q3XF2FJ0600SH,4Q0YM77J0T004Q,268.2,368.9,194.0,243.0,1900.0,300.0,600.0,4400.0
4Q3XF2FJ0600Z9,4Q0YM78J11001S,261.1,381.1,180.5,239.4,1700.0,450.0,500.0,4000.0
4Q3XF2FJ06011C,4Q0YM78J11001R,216.7,355.3,172.4,229.3,1600.0,200.0,600.0,4400.0
4Q3XF2FJ0600LB,4Q0YM78J110017,270.2,372.3,207.6,209.7,1700.0,450.0,650.0,4000.0
4Q3XF2FJ06000K,4Q0YM77J0T006B,274.2,388.2,199.0,251.3,1400.0,300.0,500.0,3900.0
4Q3XF2BHCR007S,4Q0YM74J05000P,38.1,297.2,155.1,120.1,2200.0,600.0,900.0,5900.0
4Q3XF2BJ04002X,4Q0YM74J05003D,279.2,360.7,208.7,249.1,2700.0,900.0,900.0,5500.0
4Q3XF2BHCR00HW,4Q0YM74J050044,202.3,364.4,199.0,184.0,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00NS,4Q0YM74J05003Q,41.5,309.2,177.6,111.1,1600.0,400.0,500.0,5200.0
4Q3XF2BHCR00NF,4Q0YM74J05002Q,35.0,279.2,168.6,114.8,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR008G,4Q0YM74J05004J,44.5,339.5,187.1,120.4,2000.0,500.0,600.0,5900.0
4Q3XF2BHCR00L4,4Q0YM74J050032,71.3,353.7,212.0,142.9,1900.0,400.0,500.0,4700.0
4Q3XF2BHCR008J,4Q0YM74J05005L,62.0,329.0,190.6,127.8,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00NT,4Q0YM74J05002C,33.3,283.9,173.0,113.8,1600.0,300.0,500.0,5100.0
4Q3XF2BHCR00N8,4Q0YM74J05003T,42.8,324.8,188.3,118.2,2000.0,500.0,600.0,5500.0
4Q3XF2BJ04001W,4Q0YM74J05002V,293.6,399.2,211.6,242.8,2000.0,500.0,600.0,5000.0
4Q3XF2BHCR009H,4Q0YM74J050038,65.7,366.1,214.8,137.5,1700.0,300.0,400.0,3700.0
4Q3XF2BJ04000B,4Q0YM74J05002W,298.9,404.0,227.8,252.5,2000.0,500.0,600.0,5100.0
4Q3XF2BHCR00LL,4Q0YM74J05005P,71.0,346.3,188.3,130.3,2000.0,500.0,600.0,5800.0
4Q3XF2BHCR00ND,4Q0YM74J050036,104.9,316.3,202.4,140.6,1800.0,400.0,600.0,3900.0
4Q3XF2BHCR0081,4Q0YM74J050057,42.8,316.6,194.6,119.1,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR007W,4Q0YM74J05005Q,43.1,318.0,201.8,126.4,2000.0,500.0,600.0,4800.0
4Q3XF2CHCR00DG,4Q0YM75J070004,207.6,423.6,197.8,250.0,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00HZ,4Q0YM75J070010,217.8,448.1,204.7,325.1,2000.0,500.0,500.0,4900.0
4Q3XF2CHCR00CH,4Q0YM75J07000T,32.7,310.3,153.3,136.6,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00B5,4Q0YM75J080003,48.8,306.0,162.3,145.2,2000.0,500.0,500.0,5100.0
4Q3XF2CHCR00BJ,4Q0YM75J070016,49.9,347.9,187.1,146.9,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00GZ,4Q0YM75J07000P,133.8,339.5,156.6,214.2,2300.0,600.0,600.0,5100.0
4Q3XF2CHCR00BG,4Q0YM75J07000C,32.2,297.5,135.2,162.5,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00CB,4Q0YM75J080015,89.6,335.5,168.0,162.0,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00BF,4Q0YM75J08001F,30.5,294.2,135.2,149.6,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00F3,4Q0YM75J08000N,35.2,313.1,146.5,141.1,2000.0,500.0,500.0,5100.0
4Q3XF2CHCR00BR,4Q0YM75J070015,38.3,347.6,177.6,160.8,2300.0,600.0,600.0,6000.0
4Q3XF2CHCR00G8,4Q0YM75J07001L,137.2,349.4,163.5,190.8,2800.0,800.0,600.0,6000.0
4Q3XF2CHCR00GR,4Q0YM75J07000K,186.5,394.1,197.8,213.3,2000.0,500.0,500.0,4000.0
4Q3XF2CHCR00CZ,4Q0YM75J08000P,38.3,360.7,168.0,163.4,1900.0,400.0,500.0,5100.0
4Q3XF2CHCR009D,4Q0YM75J080011,67.9,314.0,149.3,150.6,1900.0,500.0,500.0,5100.0
4Q3XF2CHCR00GW,4Q0YM75J08001S,46.5,328.1,149.3,164.8,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR008V,4Q0YM75J07001T,31.3,291.0,135.8,118.4,1800.0,400.0,500.0,5700.0
4Q3XF2CHCR00D7,4Q0YM75J08000B,77.3,340.3,155.4,151.8,2200.0,600.0,600.0,6000.0
4Q3XF2CHCR00GL,4Q0YM75J08001B,34.7,335.8,169.6,143.6,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00HG,4Q0YM75J080008,175.0,385.9,182.2,234.6,1800.0,400.0,500.0,5100.0
4Q3XF2BHCR00LK,4Q0YM74J05003M,51.3,316.6,179.9,129.0,2000.0,500.0,600.0,5500.0
4Q3XF2CHCR00C2,4Q0YM75J080012,215.0,394.7,178.2,274.5,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00GS,4Q0YM75J08000J,177.8,368.3,165.7,199.9,2000.0,500.0,500.0,5100.0
4Q3XF2CHCR00GC,4Q0YM75J08001W,195.3,397.5,184.8,284.6,1800.0,400.0,500.0,5100.0
4Q3XF2CHCR00BP,4Q0YM75J07000Q,32.2,338.6,169.6,157.6,2000.0,400.0,500.0,5100.0
4Q3XF2BHCR00P6,4Q0YM74J05004W,48.0,333.8,186.0,129.5,1700.0,300.0,500.0,4000.0
4Q3XF2CHCR00FW,4Q0YM75J07000F,77.5,347.6,181.0,150.9,2000.0,500.0,500.0,5600.0
4Q3XF2CHCR00CT,4Q0YM75J07001D,174.4,356.7,167.5,223.5,1800.0,400.0,500.0,5100.0
4Q3XF2BHCR00KN,4Q0YM74J05003W,265.7,382.2,196.9,210.9,2000.0,500.0,600.0,5500.0
4Q3XF2BHCR00K8,4Q0YM74J050055,55.9,309.8,186.0,127.1,1900.0,500.0,600.0,5500.0
4Q3XF2BHCR007N,4Q0YM74J05000H,47.4,320.2,195.2,125.7,1900.0,500.0,600.0,5100.0
