lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
42.3,342.6,161.2,146.0,2200.0,500.0,600.0,5900.0
245.4,411.6,186.0,304.0,2400.0,600.0,600.0,4100.0
89.1,303.0,145.9,149.9,2100.0,500.0,600.0,4900.0
202.9,381.4,164.6,280.8,2500.0,700.0,700.0,6000.0
214.7,381.4,165.7,279.1,2100.0,300.0,500.0,5500.0
232.2,401.2,164.0,268.9,2100.0,500.0,600.0,4800.0
231.0,404.5,181.0,287.3,1900.0,300.0,500.0,4700.0
120.3,324.8,149.9,185.7,2100.0,300.0,500.0,4400.0
38.1,314.0,156.0,149.9,2100.0,300.0,500.0,5100.0
228.8,400.3,169.6,273.0,2100.0,300.0,500.0,4400.0
232.2,394.4,165.7,274.0,2700.0,500.0,600.0,5100.0
219.4,369.7,158.9,263.4,2100.0,300.0,500.0,4400.0
65.7,340.6,167.5,160.0,2100.0,300.0,500.0,4400.0
258.4,423.0,188.3,315.4,2100.0,300.0,500.0,4400.0
236.4,400.6,167.5,287.6,1900.0,500.0,500.0,4400.0
229.1,410.3,166.9,283.0,1900.0,300.0,500.0,4700.0
255.5,457.5,201.3,362.9,2100.0,500.0,600.0,4400.0
34.7,302.4,140.9,149.1,2100.0,300.0,500.0,4400.0
140.4,349.1,168.6,157.8,2000.0,400.0,600.0,4600.0
226.2,412.5,166.9,269.4,2100.0,300.0,500.0,4400.0
233.5,413.9,181.0,291.7,2100.0,300.0,500.0,4400.0
200.9,365.8,157.2,265.6,2100.0,500.0,600.0,4400.0
234.1,396.6,180.5,282.5,1900.0,300.0,500.0,4400.0
234.1,433.1,193.4,291.2,2100.0,500.0,600.0,4400.0
228.5,433.4,175.9,326.1,2100.0,500.0,500.0,4400.0
228.2,404.8,168.0,280.1,2100.0,300.0,500.0,5000.0
218.3,380.5,158.3,275.2,2100.0,400.0,500.0,5100.0
237.5,420.7,191.1,301.6,2400.0,600.0,600.0,4000.0
220.6,413.1,178.7,264.1,2100.0,300.0,500.0,4400.0
193.6,362.7,147.0,262.4,2100.0,300.0,500.0,4400.0
245.7,404.3,165.7,311.8,2400.0,600.0,600.0,4100.0
228.5,380.8,165.2,268.4,2100.0,300.0,500.0,4800.0
238.7,388.8,165.2,277.7,2100.0,300.0,600.0,5300.0
156.1,342.0,144.7,254.4,2700.0,700.0,700.0,6000.0
246.7,390.1,171.9,261.2,2100.0,500.0,600.0,4400.0
235.5,445.4,199.5,302.5,2100.0,500.0,500.0,4400.0
232.4,402.1,185.4,289.8,2300.0,700.0,700.0,5800.0
236.7,410.5,178.7,286.8,2100.0,300.0,500.0,4400.0
176.9,362.4,145.3,257.1,2300.0,400.0,600.0,5700.0
205.4,378.5,157.7,260.0,2100.0,300.0,500.0,5500.0
217.3,365.5,155.1,261.2,2200.0,600.0,600.0,6000.0
227.6,392.1,169.6,287.1,2100.0,300.0,500.0,5200.0
251.9,415.1,185.4,280.3,2100.0,300.0,500.0,4400.0
164.8,357.9,175.9,216.7,2100.0,500.0,600.0,4400.0
32.4,302.1,144.2,118.9,2400.0,600.0,600.0,5400.0
34.4,303.8,155.4,138.0,2400.0,700.0,700.0,5800.0
231.9,395.5,167.5,277.2,2100.0,300.0,500.0,5100.0
215.8,402.1,165.2,295.8,2100.0,300.0,500.0,4400.0
96.7,326.4,149.9,152.7,2700.0,800.0,700.0,6000.0
213.3,401.8,173.0,241.4,2100.0,500.0,600.0,4400.0
198.0,376.5,166.3,283.0,2100.0,500.0,600.0,4400.0
230.5,384.2,164.6,261.2,2400.0,700.0,700.0,6000.0
204.5,378.8,153.9,288.8,1900.0,300.0,400.0,4400.0
187.1,374.0,160.0,288.8,2300.0,600.0,600.0,5800.0
230.2,401.2,176.4,281.8,2100.0,500.0,600.0,4400.0
185.7,346.3,151.0,267.2,1900.0,300.0,500.0,5200.0
215.5,348.2,147.6,258.1,2100.0,500.0,600.0,4800.0
154.4,349.6,164.0,175.1,2100.0,500.0,600.0,4400.0
220.3,411.3,181.6,257.3,2100.0,300.0,500.0,4400.0
222.3,374.0,161.2,260.9,2100.0,500.0,600.0,4400.0
31.9,298.7,155.1,129.3,2100.0,300.0,500.0,4400.0
223.4,374.6,168.0,301.6,2300.0,400.0,600.0,5500.0
239.2,398.0,165.7,271.6,1900.0,300.0,500.0,4700.0
189.9,375.4,162.3,264.8,2100.0,300.0,500.0,4400.0
206.5,402.6,177.6,273.5,2100.0,300.0,500.0,4400.0
215.3,393.3,167.5,285.6,2100.0,300.0,500.0,4400.0
110.2,364.1,160.6,184.2,2000.0,400.0,500.0,4200.0
204.5,380.5,151.0,286.1,2100.0,300.0,500.0,4800.0
35.0,284.8,129.5,130.3,2100.0,500.0,600.0,4400.0
38.9,313.4,148.8,136.3,2300.0,700.0,600.0,5600.0
255.5,405.4,184.3,300.9,2700.0,700.0,700.0,3600.0
242.3,414.8,173.6,270.4,1700.0,300.0,500.0,3900.0
